Designator Footprint               Mid-X         Mid-Y         Ref-X         Ref-Y         Pad-X         Pad-Y TB      Rotation Comment        

R51        REZ_MIFON_1206    2407.992mil       2390mil   2407.992mil       2390mil   2347.992mil       2390mil  B        180.00 470            
R40        REZ_MIFON_1206        2465mil       2520mil       2465mil       2520mil       2525mil       2520mil  B        360.00 100R           
R38        REZ_MIFON_1206        2465mil       2815mil       2465mil       2815mil       2525mil       2815mil  B        360.00 100R           
R36        REZ_MIFON_1206        2465mil       2665mil       2465mil       2665mil       2525mil       2665mil  B        360.00 100R           
R13        REZ_MIFON_1206         550mil       2885mil        550mil       2885mil        610mil       2885mil  B        360.00 4k7            
R12        REZ_MIFON_1206         970mil   3335.347mil        970mil   3335.347mil        910mil   3335.347mil  B        180.00 4k7            
D7         DIODE_NIFON_1206_MELF   2587.992mil       1230mil   2587.992mil       1230mil   2587.992mil       1290mil  B        270.00 LL4148         
R53        REZ_MIFON_1206        2410mil       2295mil       2410mil       2295mil       2470mil       2295mil  B        360.00 1M             
R10        REZ_MIFON_1206         633mil       4292mil        633mil       4292mil        693mil       4292mil  B        360.00 10k            
R16        REZ_MIFON_1206        1870mil       2043mil       1870mil       2043mil       1930mil       2043mil  B        360.00 1k             
R14        REZ_MIFON_1206        2410mil       2195mil       2410mil       2195mil       2350mil       2195mil  B        180.00 10k            
Q5         MICRO3                2071mil    2028.37mil       2071mil    2028.37mil    2024.74mil   1990.968mil  B        270.00 BC848B         
Q4         MICRO3                2330mil    2049.37mil       2330mil    2049.37mil   2292.598mil    2095.63mil  B        180.00 MMBF170LT1G    
P9         DIP2              2472.992mil   1415.347mil   2472.992mil   1515.347mil   2472.992mil   1515.347mil  T        270.00 Header 2       
P10        DIP2              2472.992mil   1015.346mil   2472.992mil   1115.347mil   2472.992mil   1115.347mil  T        270.00 Header 2       
P8         DIP2              2472.992mil   1815.347mil   2472.992mil   1915.347mil   2472.992mil   1915.347mil  T        270.00 Header 2       
U7         D008_N             562.992mil   1505.347mil    562.992mil   1505.347mil    637.992mil   1410.859mil  B        270.00 SN65HVD3085E   
U5         PDIP300-P8        2077.992mil   2014.402mil   2077.992mil   2014.402mil   1927.992mil   1864.402mil  T         90.00 24C64WP        
Q7         INF-SOT23_M           2045mil       2670mil       2045mil       2670mil   1997.756mil   2632.598mil  B        360.00 MMBT2222A      
Q1         MICRO3                 779mil        766mil        779mil        766mil    741.598mil     812.26mil  B        180.00 BC858B         
D2         DIODE_NIFON_1206_MELF        284mil       1050mil        284mil       1050mil        284mil        990mil  B         90.00 LL4148         
R44        REZ_MIFON_1206        1910mil       2475mil       1910mil       2475mil       1910mil       2535mil  B         90.00 1k             
R21        REZ_MIFON_1206        1617mil       2783mil       1617mil       2783mil       1557mil       2783mil  B        180.00 3k3            
R20        REZ_MIFON_1206        1494mil       2652mil       1494mil       2652mil       1554mil       2652mil  B        360.00 1k             
R19        REZ_MIFON_1206        1675mil       3000mil       1675mil       3000mil       1675mil       2940mil  B        270.00 8k2            
R15        RESC6332X70N          2325mil   1815.347mil       2325mil   1815.347mil       2325mil   1697.236mil  B         90.00 20R            
R11        REZ_MIFON_1206         615mil        813mil        615mil        813mil        555mil        813mil  B        180.00 4k7            
R6         REZ_MIFON_1206         664mil        954mil        664mil        954mil        664mil        894mil  B        270.00 10k            
R46        REZ_MIFON_1206         590mil       2125mil        590mil       2125mil        650mil       2125mil  B        360.00 1k             
R8         REZ_MIFON_1206        2145mil       2290mil       2145mil       2290mil       2085mil       2290mil  B        180.00 4k7            
R7         REZ_MIFON_1206        1828mil       2246mil       1828mil       2246mil       1828mil       2306mil  B         90.00 4k7            
P11        DIP2               357.992mil       1475mil    357.992mil       1375mil    357.992mil       1375mil  T         90.00 SERIAL         
P14        DIP2              2472.992mil        215mil   2472.992mil        315mil   2472.992mil        315mil  T        270.00 Header 2       
P5         DIP2               357.992mil   3076.347mil    357.992mil   2976.347mil    357.992mil   2976.347mil  T         90.00 A_LOCK         
