Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       26.04.23
Time:       11:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R52","68Ohm","BottomLayer","RESC1608X50N","36.6250","37.9000","90","CRCW060368R0FKEA","Standard","36.6250","37.9000","36.6250","37.1500"
"R51","22Ohm","BottomLayer","RESC1608X55N","54.8500","20.6750","270","ESR03EZPJ220","Standard","54.8500","20.6750","54.8500","21.4750"
"FB9","1kOhm 0.2A","BottomLayer","MURA-BLM18PG_KG-CHIP-2_V1","54.8750","17.6250","270","1000Ohm 200mA 0603","Standard","54.8750","17.6250","54.8750","18.4500"
"D38","SD05C","BottomLayer","SOD2513X120N","54.3000","13.1750","360","TVS Diode (Bi-directional)","Standard","54.3000","13.1750","53.1380","13.1750"
"C15","10nF","TopLayer","CAPC3316X180N","28.4751","4.2000","270","1206AC103KAT2A","Standard","28.4751","4.2000","28.4751","5.6200"
"C18","10nF","TopLayer","CAPC3316X180N","35.9749","4.2000","270","1206AC103KAT2A","Standard","35.9749","4.2000","35.9749","5.6200"
"C83","47pF","BottomLayer","CAPC1608X90N","36.6000","40.0000","180","06031A470JAT2A","Standard","36.6000","40.0000","37.3000","40.0000"
"C77","2.2uF","BottomLayer","C0603","44.0750","31.7000","270","C0603C225K8PACTU_7867","Standard","44.0750","31.7000","44.0750","32.5000"
"C78","2.2uF","BottomLayer","C0603","42.7000","31.7000","270","C0603C225K8PACTU_7867","Standard","42.7000","31.7000","42.7000","32.5000"
"C80","2.2uF","BottomLayer","C0603","41.4250","31.7000","270","C0603C225K8PACTU_7867","Standard","41.4250","31.7000","41.4250","32.5000"
"C84","100nF","BottomLayer","CAPC1608X90N","34.6500","38.2750","180","0603YC104K4Z2A","Standard","34.6500","38.2750","35.3500","38.2750"
"C81","100nF","BottomLayer","CAPC1608X90N","37.1750","26.5250","360","0603YC104K4Z2A","Standard","37.1750","26.5250","36.4750","26.5250"
"C23","10nF","TopLayer","CAPC3316X180N","43.3750","4.2000","270","1206AC103KAT2A","Standard","43.3750","4.2000","43.3750","5.6200"
"C28","10nF","TopLayer","CAPC3316X180N","25.9750","4.2000","270","1206AC103KAT2A","Standard","50.9749","4.2000","50.9749","5.6200"
"C14","10nF","TopLayer","CAPC3316X180N","25.9750","4.2000","270","1206AC103KAT2A","Standard","25.9750","4.2000","25.9750","5.6200"
"C16","10nF","TopLayer","CAPC3316X180N","30.9750","4.2000","270","1206AC103KAT2A","Standard","30.9750","4.2000","30.9750","5.6200"
"C17","10nF","TopLayer","CAPC3316X180N","33.4751","4.2000","270","1206AC103KAT2A","Standard","33.4751","4.2000","33.4751","5.6200"
"C20","10nF","TopLayer","CAPC3316X180N","38.4751","4.2000","270","1206AC103KAT2A","Standard","38.4751","4.2000","38.4751","5.6200"
