---------------------------------------------------------------------------------------------------
                                 COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
ADM       TPS3895ADRYR_AK_DFN_6P_20_57X39/TPS3895ADRYR AK_DFN_6P_20_57X39_TI   5787.85   6848.60   147.011   173.954 180 N
AUX_PANEL1 FPC_CON_26P_2HD_AK_FPC_26P_20_2/FPC_CON_26P AK_FPC_26P_20_2H_RA_ACES   8890.97  16295.67   225.831   413.910 180 N
BAT1      BATT_HOLDER_BATHOLDER_2P_787_LO/BATT_HOLDER BATHOLDER_2P_787_LOS_LFA   1930.00  11180.00    49.022   283.972 0   N
BD16      DUAL_DIODE_CONVERT_1ANODE_SOT32/BAV99W_L SOT323               8820.00  15720.00   224.028   399.288 270 N
BIOS_FL1  SOCKET_16P_AK_SOCKET_16P_50_LOT/SOCKET_16P AK_SOCKET_16P_50_LOTES   7185.00   9658.98   182.499   245.338 0   N
BIOS_FL2  SOCKET_16P_AK_SOCKET_16P_50_LOT/SOCKET_16P AK_SOCKET_16P_50_LOTES   6535.00   9658.98   165.989   245.338 0   N
BIOS_PH1  HEADER_2X5P_K10_AK_HD_2X5P_50_K/HEADER_2X5P_K10 AK_HD_2X5P_50_K10_PIN   7631.40   9600.06   193.838   243.842 270 N
BIOS_RECOVERY HEADER_1X3P_HD_1X3P_100_JVE_LFA/HEADER_1X3P HD_1X3P_100_JVE_LFA   4160.00  10170.00   105.664   258.318 0   N
BLED1     LED_AK_LED_2P_63X31_H39_YELLOW//YELLOW/GREEN AK_LED_2P_63X31_H39   3820.00  11060.00    97.028   280.924 0   N
BMC1      AST2500A1_AK_BGA_456P_31_748X74/AST2500A1-GP AK_BGA_456P_31_748X748   3140.00  11600.00    79.756   294.640 270 N
BMC_DEBUG1 HEADER_1X5P_K4_AK_HD_1X5P_100_K/HEADER_1X5P_K4 AK_HD_1X5P_100_K4_LFA   1390.00  10410.00    35.306   264.414 0   N
BMC_FW1   SOCKET_16P_AK_SOCKET_16P_50_LOT/SOCKET_16P AK_SOCKET_16P_50_LOTES   4580.00  11000.00   116.332   279.400 90  N
BMC_FW2   SOCKET_16P_AK_SOCKET_16P_50_LOT/SOCKET_16P AK_SOCKET_16P_50_LOTES   4580.00  11690.00   116.332   296.926 90  N
BMC_PH1   HEADER_2X5P_K10_AK_HD_2X5P_50_K/HEADER_2X5P_K10 AK_HD_2X5P_50_K10_PIN   5220.00  11770.00   132.588   298.958 90  N
BMC_SMB1  WAFER_HD_1X5P_HR_AK_WAFER_HD_5P/WAFER_HD_1X5P AK_WAFER_HD_5P_79_HR_LFA   1316.56  10201.17    33.441   259.110 0   N
BMC_SMB2  WAFER_HD_1X5P_HR_AK_WAFER_HD_5P/WAFER_HD_1X5P AK_WAFER_HD_5P_79_HR_LFA   1851.56  10201.17    47.030   259.110 0   N
BMC_SMB3  WAFER_HD_1X5P_HR_AK_WAFER_HD_5P/WAFER_HD_1X5P AK_WAFER_HD_5P_79_HR_LFA   2386.56  10201.17    60.619   259.110 0   N
BQTHR1    NPN_SOT23_SOT23_H43_DISCRETE_PM/PMBS3904 SOT23_H43             880.00   3500.00    22.352    88.900 270 N
BQTHR2    NPN_SOT23_SOT23_H43_DISCRETE_PM/PMBS3904 SOT23_H43           18630.00  16350.00   473.202   415.290 0   N
BQTHR3    NPN_SOT23_SOT23_H43_DISCRETE_PM/PMBS3904 SOT23_H43             749.31  13556.84    19.032   344.344 0   N
BUZZER1   BUZZER_AK_BUZZER_299_BD472_LFA_/PAC-WST-1212S-1-P AK_BUZZER_299_BD472_LFA   1380.00  10720.00    35.052   272.288 270 N
C4        C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                8045.00   6750.00   204.343   171.450 0   N
C6        C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                7955.00   6835.00   202.057   173.609 0   N
C7        C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                8045.00   6910.00   204.343   175.514 0   N
C9        C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                7959.42   6991.61   202.169   177.587 0   N
C11       C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                8045.00   6790.00   204.343   172.466 0   N
C13       C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                7955.00   6875.00   202.057   174.625 0   N
C15       C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                8045.00   6950.00   204.343   176.530 0   N
C17       C_C0402_DISCRETE_0.22UF/6.3V/0.22UF/6.3V C0402                7959.42   7031.61   202.169   178.603 0   N
C18       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   7934.97   124.714   201.548 0   N
C19       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3568.00   3340.30    90.627    84.844 270 N
C20       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   8006.00   124.714   203.352 0   N
C21       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3640.00   3340.30    92.456    84.844 270 N
C22       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   8076.00   124.714   205.130 0   N
C23       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3710.00   3340.30    94.234    84.844 270 N
C24       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   8148.00   124.714   206.959 0   N
C25       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3780.00   3340.30    96.012    84.844 270 N
C26       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8387.00   124.511   213.030 0   N
C27       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3854.83   3340.00    97.913    84.836 270 N
C28       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8459.00   124.511   214.859 0   N
C29       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4117.00   3340.00   104.572    84.836 270 N
C30       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4899.00   8529.00   124.435   216.637 0   N
C31       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4188.00   3340.00   106.375    84.836 270 N
C32       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4899.00   8600.00   124.435   218.440 0   N
C33       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4258.00   3340.00   108.153    84.836 270 N
C34       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8878.00   124.511   225.501 0   N
C35       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4330.00   3340.00   109.982    84.836 270 N
C36       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8948.00   124.511   227.279 0   N
C37       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4400.00   3340.00   111.760    84.836 270 N
C38       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9019.00   124.511   229.083 0   N
C39       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4490.00   3340.00   114.046    84.836 270 N
C40       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9089.00   124.511   230.861 0   N
C41       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4560.00   3340.00   115.824    84.836 270 N
C42       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9161.00   124.511   232.689 0   N
C43       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4630.00   3340.00   117.602    84.836 270 N
C44       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9232.00   124.511   234.493 0   N
C45       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4700.00   3340.00   119.380    84.836 270 N
C46       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9302.60   124.511   236.286 0   N
