BIOS_1	-203.4540	-142.9878	0		W25Q256JVEIQ	SOIC8_COLAY_LCC8_80X60
BOOT	-208.9229	-159.4538	90		HT19_2132SURC	LED_0603
C10	-200.0638	-36.8224	45		0402_10uF_6.3V_X5R_20%	C0402
C102	-162.9410	-151.6238	180		0201_0.1uF_16V_X5R_10%	C0201
C103	-168.7830	-157.9738	0		0201_0.1uF_16V_X5R_10%	C0201
C10358	-13.7160	8.5740	90		0201_1uF_6.3V_X5R_20%	C0201
C104	-173.7360	-141.8448	180		0402_10uF_6.3V_X5R_20%	C0402
C105	-174.1170	-143.4958	270		0201_0.1uF_16V_X5R_10%	C0201
C107	-171.0690	-143.4958	270		0201_0.1uF_16V_X5R_10%	C0201
C108	-176.9110	-157.5928	180		0402_10uF_6.3V_X5R_20%	C0402
C109	-175.1330	-145.4008	0		0201_0.1uF_16V_X5R_10%	C0201
C11	-200.9619	-37.7923	135		0201_0.1uF_16V_X5R_10%	C0201
C111	-163.0680	-149.2108	180		0201_0.1uF_16V_X5R_10%	C0201
C112	-168.6560	-143.4958	270		0201_0.1uF_16V_X5R_10%	C0201
C113	-169.9260	-143.4958	270		0201_0.1uF_16V_X5R_10%	C0201
C114	-163.0680	-145.5278	180		0201_0.1uF_16V_X5R_10%	C0201
C115	-166.2430	-143.4958	270		0201_0.1uF_16V_X5R_10%	C0201
C116	-163.0680	-148.0678	180		0201_0.1uF_16V_X5R_10%	C0201
C118	-177.1142	-158.3040	180		0201_0.1uF_16V_X5R_10%	C0201
C119	-177.2920	-151.7508	0		0201_0.1uF_16V_X5R_10%	C0201
C1196	-36.7030	24.0172	90		0201_0.1uF_16V_X5R_10%	C0201
C12	-206.2244	-43.3062	315		0201_27pF_50V_NP0_5%	C0201
C120	-162.9410	-152.7668	180		0201_0.1uF_16V_X5R_10%	C0201
C121	-167.3860	-143.4958	270		0201_0.1uF_16V_X5R_10%	C0201
C123	-163.0680	-146.7978	180		0201_0.1uF_16V_X5R_10%	C0201
C13	-205.5059	-44.0246	135		0201_27pF_50V_NP0_5%	C0201
C132	-50.6730	20.5882	180		0402_0.1uF_16V_X7R_10%	C0402
C15	-200.7644	-44.0246	45		0201_0.1uF_16V_X5R_10%	C0201
C154	-170.3832	-36.6888	90		0402_0.1uF_16V_X7R_10%	C0402
C1596	-38.2270	6.1102	270		0402_0.1uF_16V_X7R_10%	C0402
C1597	-37.3380	6.1102	270		0402_0.1uF_16V_X7R_10%	C0402
C16	-203.4794	-45.6296	270		0402_4.7uF_6.3V_X5R_20%	C0402
C1660	-52.8320	18.0482	180		0402_1uF_6.3V_X5R_10%	C0402
C1707	-136.0170	-58.6598	0		0402_1uF_6.3V_X5R_10%	C0402
C1708	-193.6750	-50.7858	180		0402_0.1uF_16V_X7R_10%	C0402
C1709	-193.6750	-49.8968	180		0402_0.1uF_16V_X7R_10%	C0402
C1736	-66.6242	8.7518	270		0402_0.1uF_16V_X7R_10%	C0402
C1737	-58.6740	8.2184	0		0402_0.1uF_16V_X7R_10%	C0402
